Exponent	Iterative	Recursive
658	9.10759e-05	0.000234842
659	9.08375e-05	0.000235081
660	9.10759e-05	0.000241041
661	9.10759e-05	0.000238895
662	9.60827e-05	0.00024581
663	9.20296e-05	0.000242949
664	9.17912e-05	0.000236034
665	9.20296e-05	0.00023818
666	9.29832e-05	0.000243902
667	9.20296e-05	0.000237942
668	9.70364e-05	0.000242949
669	9.32217e-05	0.000244856
670	9.41753e-05	0.000247002
671	9.39369e-05	0.000239134
672	9.29832e-05	0.000246048
673	9.29832e-05	0.000241041
674	9.32217e-05	0.000239849
675	9.39369e-05	0.000253916
676	9.41753e-05	0.000241995
677	9.41753e-05	0.000240803
678	0.000288963	0.000252008
679	9.48906e-05	0.000241995
680	9.5129e-05	0.000247955
681	9.41753e-05	0.000243902
682	9.5129e-05	0.000242949
683	9.41753e-05	0.000252008
684	9.5129e-05	0.000242949
685	9.48906e-05	0.000245094
686	9.5129e-05	0.000256062
687	9.5129e-05	0.000247955
688	9.58443e-05	0.000246048
689	0.000102043	0.000245094
690	9.60827e-05	0.000246048
691	9.58443e-05	0.000252962
692	9.70364e-05	0.000247955
693	9.58443e-05	0.000252962
694	9.70364e-05	0.000257969
695	9.60827e-05	0.000250101
696	9.70364e-05	0.000249863
697	0.000100851	0.000265837
698	9.70364e-05	0.000250816
699	9.799e-05	0.000249863
700	9.799e-05	0.000258207
701	9.799e-05	0.000251055
702	9.799e-05	0.000259161
703	0.000108957	0.000253916
704	9.799e-05	0.000252962
705	9.799e-05	0.000260115
706	9.89437e-05	0.000253201
707	9.89437e-05	0.000255108
708	9.89437e-05	0.000262976
709	0.000104189	0.00026083
710	9.89437e-05	0.000259876
711	9.98974e-05	0.000261068
712	0.000105143	0.000262022
713	9.98974e-05	0.000257015
714	0.000104904	0.000255108
715	9.98974e-05	0.000258207
716	9.98974e-05	0.000264168
717	9.98974e-05	0.000258207
718	9.98974e-05	0.000264168
719	0.000100136	0.000267982
720	0.000100136	0.000258923
721	0.000101089	0.000261068
722	0.000298023	0.000262976
723	0.000101805	0.000259161
724	0.000100851	0.000268936
725	0.000102043	0.000261068
726	0.000102043	0.000267029
727	0.000108004	0.000265837
728	0.000102997	0.000262022
729	0.000102043	0.000272036
730	0.000102997	0.000263929
731	0.000101805	0.000262022
732	0.000102997	0.000271797
733	0.000102997	0.000264883
734	0.000102997	0.000267982
735	0.000102997	0.000267029
736	0.000103951	0.000267029
737	0.000102997	0.000273943
738	0.000103951	0.000284195
739	0.000103951	0.000266075
740	0.000109911	0.000267982
741	0.000103951	0.000267982
742	0.000104904	0.000281096
743	0.000104904	0.000269175
744	0.000103951	0.000268936
745	0.000104904	0.000277042
746	0.000106096	0.00026989
747	0.000105143	0.000267029
748	0.000110865	0.000271082
749	0.000105143	0.000270844
750	0.000105858	0.000281096
751	0.000106096	0.00027585
752	0.000105858	0.000275135
753	0.000118017	0.000279188
754	0.000112057	0.000272036
755	0.00010705	0.000287056
756	0.00010705	0.000273943
757	0.00010705	0.000273943
758	0.00011301	0.000281096
759	0.00010705	0.000279903
